"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"45",2014,"13_14","28","L","INITIAL","N_85","",NA,"","",NA,"","5/21/2014",141,7,6,9.93,0.057450044,""
"46",2014,"13_14","29","L","INITIAL","N_87","",NA,"","",NA,"","5/17/2014",137,5,4,12.77,0.025429064,""
"47",2014,"13_14","30","L","INITIAL","N_90","",NA,"","",NA,"","5/18/2014",138,6,NA,NA,NA,"Predated"
"48",2014,"13_14","31","L","INITIAL","N_91","",NA,"","",NA,"","5/19/2014",139,7,7,10.21,0.076169517,""
"49",2014,"13_14","33","L","INITIAL","N_92","",NA,"","",NA,"","5/21/2014",141,7,5,13.41,0.054549799,""
"50",2014,"13_14","34","L","INITIAL","N_95","",NA,"","",NA,"","5/13/2014",133,7,7,11.86,0.050168909,""
"51",2014,"13_14","38","L","INITIAL","N_98","",NA,"","",NA,"","5/26/2014",146,6,6,12.51,0.041134668,""
"52",2014,"13_14","40","L","INITIAL","N_101","",NA,"","",NA,"","5/17/2014",137,5,3,10.63,0.109763169,"found one dead chickadee in box just before laying"
"53",2014,"13_14","41","L","INITIAL","N_103","",NA,"","",NA,"","5/30/2014",150,5,5,12.79,0.072616341,""
"54",2014,"13_14","42","L","INITIAL","N_105","",NA,"","",NA,"","5/17/2014",137,NA,NA,NA,NA,"Predated like last year"
"55",2014,"13_14","43","L","INITIAL","N_107","",NA,"","",NA,"","5/18/2014",138,5,NA,NA,NA,"Predated"
"56",2014,"13_14","44","L","INITIAL","N_108","",NA,"","",NA,"","5/15/2014",135,7,NA,NA,NA,"Predated"
"57",2014,"13_14","47","L","INITIAL","N_110","",NA,"","",NA,"","5/16/2014",136,6,4,11.91,0.055989752,"One egg predated so only 6 eggs were incubated"
"58",2014,"13_14","48","L","INITIAL","N_111","",NA,"","",NA,"","6/2/2014",153,NA,NA,NA,NA,"Eggs Predated"
"59",2014,"13_14","54","L","INITIAL","N_113","",NA,"","",NA,"","5/17/2014",137,7,6,10.63,0.032844699,""
"60",2014,"13_14","57","L","INITIAL","N_114","",NA,"","",NA,"","5/16/2014",136,8,8,12.62,0.033140559,""
"61",2014,"13_14","58","L","INITIAL","N_115","",NA,"","",NA,"","5/22/2014",142,5,NA,NA,NA,"Abandoned"
"62",2014,"13_14","59","L","INITIAL","N_116","",NA,"","",NA,"","5/19/2014",139,7,6,12.71,0.060542203,""
"63",2014,"13_14","6","L","INITIAL","N_118","",NA,"","",NA,"","5/26/2014",146,NA,NA,NA,NA,"2 eggs destroyed in a clump"
"64",2014,"13_14","60","L","INITIAL","N_120","",NA,"","",NA,"","5/10/2014",130,7,7,12.85,0.034055019,""
"65",2014,"13_14","64B","L","INITIAL","N_121","",NA,"","",NA,"","5/18/2014",138,6,6,12.16,0.062005711,""
"66",2014,"13_14","66","L","INITIAL","N_122","",NA,"","",NA,"","5/19/2014",139,7,NA,NA,NA,"Eggs never hatched"
"67",2014,"13_14","68","L","INITIAL","N_123","",NA,"","",NA,"","5/19/2014",139,7,7,11.8,0.043300593,""
"68",2014,"13_14","7","L","INITIAL","N_124","",NA,"","",NA,"","5/20/2014",140,7,6,12.02,0.061115313,""
"69",2014,"13_14","70","L","INITIAL","N_126","",NA,"","",NA,"","5/12/2014",132,6,NA,NA,NA,"1 day of incubation before eggs were predated"
"70",2014,"13_14","71","L","INITIAL","N_127","",NA,"","",NA,"","5/28/2014",148,7,NA,NA,NA,"Renest from Box 70?? Predated"
"71",2014,"13_14","72","L","INITIAL","N_128","",NA,"","",NA,"","5/18/2014",138,NA,NA,NA,NA,"Predated"
"72",2014,"13_14","74","L","INITIAL","N_129","",NA,"","",NA,"","5/18/2014",138,8,NA,NA,NA,"Predated"
"73",2014,"13_14","79","L","INITIAL","N_130","",NA,"","",NA,"","5/20/2014",140,7,NA,NA,NA,"Predated"
"74",2014,"13_14","81","L","INITIAL","N_132","",NA,"","",NA,"","5/22/2014",142,6,4,13.67,0.017725553,""
