"","YEAR","SEASON","BOX","ELEVATION","NEST.TYPE","NEST.ID","M.RFID","M.ID","M.TOIC","F.RFID","F.ID","F.TOIC","FIRST.EGG","J.FIRST.EGG","CLUTCH","BROOD","MEANMASS","CV","NOTES"
"46",2014,"13_14","4","H","INITIAL","N_99","",NA,"","",NA,"","5/29/2014",149,8,7,13.28,0.071125656,""
"47",2014,"13_14","4-1","H","INITIAL","N_100","",NA,"","",NA,"","6/2/2014",153,6,6,12.62,0.04159271,""
"48",2014,"13_14","40","H","INITIAL","N_102","",NA,"","",NA,"","6/3/2014",154,NA,NA,NA,NA,"eggs predated"
"49",2014,"13_14","41","H","INITIAL","N_104","",NA,"","",NA,"","6/14/2014",165,2,2,13.01,0.015767859,"Renest??"
"50",2014,"13_14","44","H","INITIAL","N_109","",NA,"","",NA,"","5/27/2014",147,8,8,12.91,0.060495304,""
"51",2014,"13_14","5","H","INITIAL","N_112","",NA,"","",NA,"","6/4/2014",155,6,5,13.08,0.029404449,""
"52",2014,"13_14","5A","H","INITIAL","N_117","",NA,"","",NA,"","5/28/2014",148,7,6,12.97,0.045457411,""
"53",2014,"13_14","6","H","INITIAL","N_119","",NA,"","",NA,"","5/26/2014",146,7,7,14.26,0.038183296,""
"54",2014,"13_14","7","H","INITIAL","N_125","",NA,"","",NA,"","5/27/2014",147,8,8,13.25,0.053915698,""
"55",2014,"13_14","7A","H","INITIAL","N_131","",NA,"","",NA,"","5/31/2014",151,6,4,12.12,0.085243482,""
"56",2015,"14_15","1","H","INITIAL","N_155","0300019589","B_84","11/5/2014","0700EDF8A1","B_244","6/24/2015","5/25/2015",145,6,6,11.15833333,0.064965929,""
"57",2015,"14_15","10A","H","INITIAL","N_158","0700EDAEC2","B_296","7/4/2015","0700EE3490","B_297","7/4/2015","6/5/2015",156,5,5,11.964,0.060188087,""
"58",2015,"14_15","11","H","INITIAL","N_159","","","","","","","6/3/2015",154,NA,NA,NA,NA,"ABANDONED"
"59",2015,"14_15","12A","H","INITIAL","N_160","030001EA7A","B_251","6/26/2015","0700EE3BE9","B_252","6/26/2015","5/28/2015",148,8,8,13.34714286,0.029657394,""
"60",2015,"14_15","13","H","INITIAL","N_161","0700EDFFE1","B_187","1/1/2015","030002434A","B_240","6/24/2015","5/24/2015",144,8,7,13.17142857,0.026714835,""
"61",2015,"14_15","13A","H","INITIAL","N_163","","","","","","","5/26/2015",146,NA,NA,NA,NA,"PREDATED"
"62",2015,"14_15","14","H","INITIAL","N_165","0700EE3582","B_250","6/26/2015","0300034DB4","B_249","6/26/2015","5/30/2015",150,7,7,12.44857143,0.038635071,""
"63",2015,"14_15","15A","H","INITIAL","N_167","","","","","","","5/31/2015",151,NA,NA,NA,NA,"PREDATED"
"64",2015,"14_15","16A","H","INITIAL","N_169","","","","","","","6/1/2015",152,NA,NA,NA,NA,"ABANDONED"
"65",2015,"14_15","17_1","H","INITIAL","N_170","","","","","","","5/22/2015",142,5,NA,NA,NA,"PREDATED"
"66",2015,"14_15","17-2","H","INITIAL","N_171","","","","030002A9C9","B_262","6/29/2015","5/29/2015",149,7,6,12.03166667,0.046145616,""
"67",2015,"14_15","17-3","H","INITIAL","N_172","","","","0300023A64","B_263","6/29/2015","5/29/2015",149,7,6,12.43,0.069970683,""
"68",2015,"14_15","18-2","H","INITIAL","N_173","0700ED9F8E","B_15","8/29/2014","0700EE03DE","B_256","6/28/2015","5/30/2015",150,7,6,12.725,0.070276233,""
"69",2015,"14_15","19A","H","INITIAL","N_175","0700EE2818","B_298","7/4/2015","0700EDF133","B_302","7/5/2015","6/4/2015",155,6,6,11.35666667,0.090678812,""
"70",2015,"14_15","21","H","INITIAL","N_177","030002A7B9","B_290","7/2/2015","","","","5/26/2015",146,9,8,12.4675,0.055988205,""
"71",2015,"14_15","22","H","INITIAL","N_178","030001DB5E","B_268","6/30/2015","030001A0E8","B_279","7/1/2015","6/1/2015",152,7,7,13.15142857,0.050756349,""
"72",2015,"14_15","22-1","H","INITIAL","N_179","0700EDF64A","B_17","8/29/2014","0300023011","B_255","6/26/2015","5/27/2015",147,8,8,13.29875,0.040653904,""
"73",2015,"14_15","24","H","INITIAL","N_181","0700EDBD06","B_40","9/5/2014","0700EDF259","B_47","9/5/2014","6/5/2015",156,6,6,13.43,0.045382844,""
"74",2015,"14_15","26","H","INITIAL","N_183","0700EE0514","B_49","9/5/2014","0700EDBA2B","B_155","12/22/2014","6/5/2015",156,5,5,12.516,0.088155117,""
"75",2015,"14_15","27","H","INITIAL","N_185","0700EE0988","B_214","1/9/2015","030001E144","B_261","6/29/2015","5/31/2015",151,6,6,12.42333333,0.052588119,""
"76",2015,"14_15","28","H","INITIAL","N_188","0700ED9AAB","B_41","9/5/2014","0700EE3EF6","B_38","9/5/2014","6/2/2015",153,8,8,13.64125,0.027967905,""
"77",2015,"14_15","29","H","INITIAL","N_190","0700EDC61E","B_192","1/1/2015","0700EDBDD9","B_309","7/8/2015","6/1/2015",152,3,3,12.02,0.083613753,""
"78",2015,"14_15","2A","H","INITIAL","N_191","","","","","","","6/1/2015",152,5,NA,NA,NA,"PREDATED"
"79",2015,"14_15","32","H","INITIAL","N_195","0700EDD584","B_295","7/4/2015","03000223AD","B_288","7/2/2015","6/3/2015",154,5,5,12.902,0.042531702,""
"80",2015,"14_15","33","H","INITIAL","N_196","0700EDE52B","B_305","7/6/2015","0700EE2255","B_303","7/6/2015","6/5/2015",156,7,6,12.285,0.049333419,""
"81",2015,"14_15","33-4","H","INITIAL","N_198","0700EDDE2F","B_243","6/24/2015","0300019F10","B_246","6/24/2015","5/26/2015",146,7,6,12.85333333,0.03280084,""
"82",2015,"14_15","34","H","INITIAL","N_200","030003735A","B_107","11/12/2014","0700EDA11E","B_307","7/7/2015","6/11/2015",162,6,6,12.085,0.034056282,""
"83",2015,"14_15","35","H","INITIAL","N_201","0700ED8E2B","B_304","7/6/2015","","","","6/6/2015",157,5,4,12.6675,0.047537677,""
"84",2015,"14_15","36","H","INITIAL","N_202","0700EDA7DC","B_310","7/13/2015","0700EE0A3B","B_45","9/5/2014","6/14/2015",165,6,5,10.624,0.093172405,""
"85",2015,"14_15","38","H","INITIAL","N_203","030003315D","B_194","1/1/2015","0700EE26F2","B_52","9/12/2014","6/6/2015",157,6,6,11.84166667,0.040022863,""
"86",2015,"14_15","4","H","INITIAL","N_205","0700EE0863","B_146","11/26/2014","0700EDBA30","B_193","1/1/2015","6/1/2015",152,8,7,11.1,0.052918503,""
"87",2015,"14_15","41","H","INITIAL","N_208","0700EE0945","B_275","7/1/2015","","","","6/1/2015",152,7,6,13.41333333,0.024211455,""
"88",2015,"14_15","43-2","H","INITIAL","N_210","0700EDB6EA","B_278","7/1/2015","0700EDF8BA","B_267","6/30/2015","6/1/2015",152,6,6,12.1725,0.046474226,""
"89",2015,"14_15","44","H","INITIAL","N_211","","","","","","","6/2/2015",153,6,NA,NA,NA,"PREDATED"
"90",2015,"14_15","4A","H","INITIAL","N_215","","","","0300026CA0","B_245","6/24/2015","5/25/2015",145,6,6,10.95,0.058786119,""
"91",2015,"14_15","5","H","INITIAL","N_217","030001F885","B_56","9/19/2014","0700EDFED4","B_54","9/19/2014","5/25/2015",145,7,6,12.905,0.043671967,""
"92",2015,"14_15","6","H","INITIAL","N_222","030001D152","B_86","11/5/2014","030003BA94","B_274","7/1/2015","5/29/2015",149,7,6,12.30833333,0.073731449,""
"93",2015,"14_15","7","H","INITIAL","N_229","0700EDFA13","B_242","6/24/2015","0700EE085D","B_241","6/24/2015","5/24/2015",144,8,6,13.6,0.038587182,""
"94",2015,"14_15","8A","H","INITIAL","N_240","0700EE0D2C","B_253","6/26/2015","0700EDB659","B_254","6/26/2015","5/29/2015",149,6,5,12.434,0.05757135,""
"95",2015,"14_15","B11","H","INITIAL","N_243","0300025F50","B_80","11/5/2014","030002F09C","B_228","6/18/2015","5/24/2015",144,6,6,13.535,0.052623345,""
"96",2015,"14_15","B12","H","INITIAL","N_244","030003371B","B_260","6/28/2015","030003384A","B_269","6/30/2015","5/29/2015",149,8,8,12.0825,0.05699461,""
"97",2015,"14_15","B16-1","H","INITIAL","N_245","030002BF3A","B_258","6/28/2015","0300027217","B_257","6/28/2015","5/30/2015",150,7,7,11.92,0.049600808,""
"98",2015,"14_15","B18","H","INITIAL","N_246","0700EDEFA0","B_289","7/2/2015","030001ED44","B_287","7/2/2015","6/3/2015",154,6,6,12.125,0.029730786,""
"99",2015,"14_15","B2","H","INITIAL","N_247","030001CC84","B_21","8/29/2014","0300036594","B_259","6/28/2015","5/30/2015",150,6,6,12.07666667,0.027451428,""
"100",2015,"14_15","B26","H","INITIAL","N_248","","","","0300023498","B_266","6/30/2015","6/5/2015",156,5,NA,NA,NA,"PREDATED"
"101",2015,"14_15","B28","H","INITIAL","N_249","0300022B1E","B_277","7/1/2015","0700EDFF9E","B_276","7/1/2015","6/2/2015",153,6,6,12.515,0.030867199,""
"102",2015,"14_15","B30","H","INITIAL","N_250","0700EE429E","B_230","6/18/2015","03000241BF","B_229","6/18/2015","5/20/2015",140,8,7,12.91857143,0.058766221,""
"103",2015,"14_15","B32","H","INITIAL","N_251","0700ED8DFA","B_265","6/30/2015","0700EE42A0","B_264","6/30/2015","6/1/2015",152,6,3,12.12666667,0.035385454,""
"104",2015,"14_15","B5-1","H","INITIAL","N_252","0700ED87E0","B_195","1/1/2015","030003A2AF","B_239","6/23/2015","5/26/2015",146,5,5,12.374,0.053060193,""
"105",2015,"14_15","STUMP","H","INITIAL","N_261","0700EDC3CB","B_306","7/7/2015","","","","",NA,NA,NA,NA,NA,""
